Sentence,Verb_index,Verb,Verb_lemma,Prefix,Stem,Subject,Preposition,Object,Object_case,Object_lemma,Unified_preposition,Motion_type,
"При дотриманні принципу дао можливо бездіяльність, недіяння, що приводить проте до повної свободи, щастя і процвітання.",8,приводить,приводити,при,води́ти,,до,свободи,Gen,свобода,До,metaphorical,
"Інвалідизація від психічних захворювань вийшла на друге місце серед інших захворювань, – зазначив керівник дитячої лікарні.",4,вийшла,вийти,ви,іти́/йти́,Інвалідизація,на,місце,Acc,місце,На,metaphorical,
"Херсонець Андрій Наливайко повідомляв, що був викраденим невідомими людьми, котрі вивезли його у ліс та допитували по справі Гандзюк.",10,вивезли,вивезти,ви,везти́,котрі,у,ліс,Acc,ліс,В,literal,
До складу входять тільки екологічно чисті продукти.,2,входять,входити,в,ходи́ти,продукти,до,складу,Gen,склад,До,metaphorical,
"Стародавні політичні та соціальні вчення в Єгипті, Індії, Китаї, Греції та на інших територіях землі відображали лише основні характеристики ранніх типів суспільства, що прийшли на зміну первісному суспільству.",23,прийшли,прийти,при,іти́/йти́,,на,зміну,Acc,зміна,На,metaphorical,
"Архівний відділ Бахмутської міської ради доводить до відома громадян, що прийом громадян з видачі довідок соціально-правового характеру буде здійснюватись в адміністративної будівлі Бахмутської міської ради за графіком: вівторок, четвер з 8-00 до17-00.",5,доводить,доводити,до,води́ти,відділ,до,відома,Gen,відомий,До,metaphorical,
"Завдяки спокійній кольоровій гамі, до якої входить ніжно-блакитний та глибокий синій кольори, робить сюжет картини легким і заспокійливим.",6,входить,входити,в,ходи́ти,кольори,до,якої,Gen,який,До,metaphorical,
"На превеликий жаль, 30 липня цього року пані Стефа відійшла у вічність, але її спогади закарбовані у цьому тексті.",9,відійшла,відійти,від,іти́/йти́,пані,у,вічність,Acc,вічність,В,metaphorical,
"Чотири роки потому, 12 серпня 1981, на ринок вийшов IBM PC - перший масовий персональний комп'ютер, пише gazeta.",8,вийшов,вийти,ви,іти́/йти́,IBM,на,ринок,Acc,ринок,На,metaphorical,
А нова книга «Назови мене своєю» уже ввійшла до Топ 5-ки найбільш читаних книжок України.,7,ввійшла,ввійти,в,іти́/йти́,книга,до,Топ,Gen,топ,До,metaphorical,
"Якщо до тебе прийшли на пару, згадай, що ти артист, ти кращий педагог країни, ти найщасливіша людина.",3,прийшли,прийти,при,іти́/йти́,,на,пару,Acc,пара,На,literal,
"Учені з Австралії визначили, що харчова добавка на основі наночасток Е171 (діоксид титану), може привести до раку товстого кишечника.",14,привести,привести,при,вести́,,до,раку,Gen,рака,До,metaphorical,
