,Sentence,Verb_index,Verb,Verb_lemma,Prefix,Stem,Subject,Preposition,Object,Object_case,Object_lemma,Unified_preposition,Motion_type,Unnamed: 13,Gold_standard,Unnamed: 0,Wrapped
2,"Херсонець Андрій Наливайко повідомляв, що був викраденим невідомими людьми, котрі вивезли його у ліс та допитували по справі Гандзюк.",10,вивезли,вивезти,ви,везти́,котрі,у,ліс,Acc,ліс,В,literal,,gold,,
10,"Якщо до тебе прийшли на пару, згадай, що ти артист, ти кращий педагог країни, ти найщасливіша людина.",3,прийшли,прийти,при,іти́/йти́,,на,пару,Acc,пара,На,literal,,gold,,
13,"Правоохоронці встановили, що зловмисник виходив на «полювання» уночі.",4,виходив,виходити,ви,ходи́ти,зловмисник,на,полювання,Acc,полювання,На,literal,,gold,,
23,"Сергій Макаров додає: якщо кліщ, якого ви віднесли в лабораторію, не заражений, то існують ризики, що ви могли не помітити укус зараженого кліща.",7,віднесли,віднести,від,нести́,ви,в,лабораторію,Acc,лабораторій,В,literal,,gold,,
24,"Я не прийшов в монастир, а залишився в монастирі»",2,прийшов,прийти,при,іти́/йти́,Я,в,монастир,Acc,монастир,В,literal,,gold,,
28,"У жовтні Сома Морґенштерн змушений виїхати до табору у Монтаржі, тоді ж дізнається про загибель брата Мозеса у Бухенвальді.",5,виїхати,виїхати,ви,ї́хати,,до,табору,Gen,табір,До,literal,,gold,,
33,Ми затягли дядька на ґанок.,1,затягли,затягти,за,тягти́,Ми,на,ґанок,Acc,ґанок,На,literal,,gold,,
34,"Ми прийшли на фестиваль з нашого кіноклубу Діалог, коли той вже не був оглядом студентських стрічок, але був оглядом колишніх республік Радянського Союзу.",1,прийшли,прийти,при,іти́/йти́,Ми,на,фестиваль,Acc,фестиваль,На,literal,,gold,,
36,"Чи зупиняли ви себе, вагаючись: «Як підійти до незнайомої людини?",6,підійти,підійти,під,іти́/йти́,,до,людини,Gen,людина,До,literal,,gold,,
48,Одразу ж на виклик виїхали чотири бригади обласного центру екстреної медичної допомоги та медицини катастроф.,4,виїхали,виїхати,ви,ї́хати,бригади,на,виклик,Acc,виклик,На,literal,,gold,,
60,"Оскільки у мене є незначні проблеми із здоров’ям, які дозволяють пересуватись, говорити, я прийшов сьогодні в управління, щоб ознайомитись із наказам і підписати його.",13,прийшов,прийти,при,іти́/йти́,я,в,управління,Acc,управління,В,literal,,gold,,
62,"Перетнувши смугу зустрічного руху на повороті, автомобіль виїхав з проїжджої частини у кювет та зіткнувся з металевим дорожнім знаком.",7,виїхав,виїхати,ви,ї́хати,автомобіль,у,кювет,Acc,кювет,В,literal,,gold,,
63,"У цьому році на XXII конференцію приїхали науковці з різних регіонів України: Вінниці, Дніпра, Каменського, Києва, Сєверодонецька, Харкова та інших міст, а також представники підприємств із України та Росії.",6,приїхали,приїхати,при,ї́хати,науковці,на,конференцію,Acc,конференція,На,literal,,gold,,
65,А потім на святкову сцену вийшли самодіяльні митці Здолбунівщини.,5,вийшли,вийти,ви,іти́/йти́,митці,на,сцену,Acc,сцена,На,literal,,gold,,
67,У цій ситуації необхідно ввести руку в піхву і виправити становище ложок.,4,ввести,ввести,в,вести́,,в,піхву,Acc,піхва,В,literal,,gold,,
70,"Саме у цей світлий день люди приносять додому освячене в церквах духмяне зілля, а разом з ним — мир і Боже благословення.",6,приносять,приносити,при,носи́ти,люди,у,день,Acc,день,В,literal,,gold,,
78,Через свої комплекси Віктор довго не може наважатися зайти в місцевий Будинок культури на побачення-п’ятихвилинки.,8,зайти,зайти,за,іти́/йти́,,в,Будинок,Acc,будинок,В,literal,,gold,,
88,"«- Я прийняла присягу ще й тому, що на власні очі бачила, як ворог прийшов на схід нашої України… Це було дуже страшно та важко… Я зрозуміла, що потрібна нашим хлопцям.",14,прийшов,прийти,при,іти́/йти́,ворог,на,схід,Acc,схід,На,literal,,gold,,
95,"Показали героя в момент, скажімо так, «кульмінації» як поета, коли він виходить в літературному кафе на сцену, намагається нарешті прочитати свої вірші хоч маленькій аудиторії – і тут на нього нападає гикавка.",11,виходить,виходити,ви,ходи́ти,він,на,сцену,Acc,сцена,На,literal,,gold,,
103,"До закладу вищої освіти щосуботи приїздить молодь з різних регіонів України, аби детально ознайомитись і визначитись із творчими та бізнес-спеціальностями та познайомитися із зірковими викладачами й студентами.",5,приїздить,приїздити,при,ї́здити,молодь,до,закладу,Gen,заклад,До,literal,,gold,,
112,Більшість приїде в суботу 26-го.,1,приїде,приїхати,при,ї́хати,Більшість,в,суботу,Acc,субота,В,literal,,gold,,
131,"Хоча ти вчасно приїхав у аеропорт, рейс затримали.",3,приїхав,приїхати,при,ї́хати,ти,у,аеропорт,Acc,аеропорт,В,literal,,gold,,
137,"У Івана Івановича досить дивне, подвійне прізвище — Чимша-Гімалайський, яке зосіш не личило йому, і його по всій губернії звали просто на ім´я та по батькові; він жив біля міста на кінному заводі і приїхав тепер на полювання, щоб подихати чистим повітрям.",34,приїхав,приїхати,при,ї́хати,,на,полювання,Acc,полювання,На,literal,,gold,,
139,На концерт прийшло дуже багато людей.,2,прийшло,прийти,при,іти́/йти́,людей,на,концерт,Acc,концерт,На,literal,,gold,,
140,"Депутат ВР від БЮТ Гарегін Арутюнов: ""…Я виходив сьогодні до людей, що прийшли з плакатами, на яких написане моє прізвище.",7,виходив,виходити,ви,ходи́ти,Я,до,людей,Gen,людина,До,literal,,gold,,
148,"Одного разу до нього привели сліпого, який вже бував у багатьох лікарів, але ніхто не зміг його вилікувати.",4,привели,привести,при,вести́,,до,нього,Gen,він,До,literal,,gold,,
155,"“Скоро в школу” Наближається той день, коли ваш малюк вперше увійде в шкільний клас.",10,увійде,увійти,в,іти́/йти́,малюк,в,клас,Acc,клас,В,literal,,gold,,
159,"До заходу сонця маємо зійти на хребет, знайти вихід вниз і спуститися на полонину Верхня Зелениця, де плануємо ночівлю.",4,зійти,зійти,з,іти́/йти́,,на,хребет,Acc,хребет,На,literal,,gold,,
160,"Приносьте до намету гречану кашу, ми її відправимо в АТО!",0,Приносьте,приносити,при,носи́ти,,до,намету,Gen,намет,До,literal,,gold,,
161,"Тож Чуби привезли в Україну такий корисний винахід, як робот-підгортач кормів Butler Gold від сімейної австрійської фірми Wasserbauer.",2,привезли,привезти,при,везти́,Чуби,в,Україну,Acc,україна,В,literal,,gold,,
174,Кожен день прилітає до нього орел і клює його печінку.,2,прилітає,прилітати,при,літа́ти,орел,до,нього,Gen,він,До,literal,,gold,,
175,Ми вийшли на Майдан.,1,вийшли,вийти,ви,іти́/йти́,Ми,на,Майдан,Acc,майдан,На,literal,,gold,,
182,"Учасники віча вимагали від керівництва райдержадміністрації оприлюднити свою позицію щодо подій, які відбуваються в державі і заявити про свою підтримку народу України, але керівництво райдержадміністрації так і не наважилось вийти до людей.",29,вийти,вийти,ви,іти́/йти́,,до,людей,Gen,людина,До,literal,,gold,,
189,"Вона шукала вікна — вилетіти у вікно, у дощ, у ніч.",4,вилетіти,вилетіти,ви,летíти,,у,вікно,Acc,вікно,В,literal,,gold,,
192,"Ця назва може бути вказівкою, до яких місць доходив європейський мандрівник і до якої нації він належав».",8,доходив,доходити,до,ходи́ти,мандрівник,до,місць,Gen,місце,До,literal,,gold,,
193,"Ввійшовши в майстерню, ""Попка"", як розказувала нам відома в ті часи натурниця Ольга Іванівна, підходив до неї, коли вона позувала гола, й радо тихенько плескав її по сиднях, примовляючи своє ""старайтесь, батенька, старайтесь!"".",14,підходив,підходити,під,ходи́ти,Попка,до,неї,Gen,вона,До,literal,,gold,,
198,"Через деякий час ви зрозумієте, що вода забрала всі негативні почуття і емоції, з якими ви прийшли до неї.",16,прийшли,прийти,при,іти́/йти́,ви,до,неї,Gen,вона,До,literal,,gold,,
203,"Зустріли хлопців, що приїхали на один день, посиділи в майстерні шоколаду, потім у зоо-кафе з цілою купою котів, і далі пішли посидіти із львівськими хлопаками з GWU.",3,приїхали,приїхати,при,ї́хати,,на,день,Acc,день,На,literal,,gold,,
207,"У зв’язку з цим лікарі рекомендують кілька разів на рік приходити на огляд до гінеколога, щоб він проводив візуальне обстеження слизової оболонки піхви.",10,приходити,приходити,при,ходи́ти,,на,огляд,Acc,огляд,На,literal,,gold,,
211,"Прийшов Іван до царя, потребував дівку і половину царства.",0,Прийшов,прийти,при,іти́/йти́,Іван,до,царя,Gen,царя,До,literal,,gold,,
215,"Пропонуєте заїхати в центр, сісти на трамвай №6 а потім пересісти на 2А допустимо до мотозаводу?",1,заїхати,заїхати,за,ї́хати,,в,центр,Acc,центр,В,literal,,gold,,
217,"Нехай Свято принесе у Ваші домівки радість та благополуччя, щастя та міцне здоров’я, наповнить серця ваші добром та милосердям.",2,принесе,принести,при,нести́,,у,домівки,Acc,домівка,В,literal,,gold,,
219,"За його запрошенням, Маккартні, прийшов на концерт групи.",4,прийшов,прийти,при,іти́/йти́,,на,концерт,Acc,концерт,На,literal,,gold,,
220,"В п’ятницю, 11 листопада 2011 року, в Київ на відкриття Української Медіа Школи (УМШ) приїде провідний міжнародний тренер в медіаіндустрії Аннет Айріс, автор книги «Управління медіакомпанією.",14,приїде,приїхати,при,ї́хати,тренер,на,відкриття,Acc,відкриття,На,literal,,gold,,
224,Восени прийдуть до нас большевики.,1,прийдуть,прийти,при,іти́/йти́,большевики,до,нас,Gen,ми,До,literal,,gold,,
227,"Наступного дня 2 лютого молодих знову вводили у храм, де остаточно проголошувалося створення нової родини.",6,вводили,вводити,в,води́ти,,у,храм,Acc,храм,В,literal,,gold,,
233,"Не старайтесь одразу купити речі, відкладіть їх та зайдіть в інших магазин.",8,зайдіть,зайти,за,іти́/йти́,,в,магазин,Acc,магазин,В,literal,,gold,,
235,"Мабуть, пасажири й команда потонули, бо на берег цього острова винесло одну корабельну дошку, за яку міцно трималася дівчина.",10,винесло,винести,ви,нести́,,на,берег,Acc,берег,На,literal,,gold,,
244,"Ізраїльтяни, зокрема, журналісти, мають намір приїхати на Львівщину ще до відкриття авіарейсу Львів-Тель-Авів.",5,приїхати,приїхати,при,ї́хати,,до,відкриття,Gen,відкриття,До,literal,,gold,,
245,Студенти Львівського Національного Університету імені Івана Франка вийшли на акцію протесту біля головного корпусу вишу.,7,вийшли,вийти,ви,іти́/йти́,Студенти,на,акцію,Acc,акція,На,literal,,gold,,
246,"ТОВ «Агро Кім» вже у червні планує розпочати перевезення першої черги свинарника з Кукшина до Галиці з тим, щоб до зими вже завезти свиноматок.",22,завезти,завезти,за,везти́,,до,зими,Gen,зима,До,literal,,gold,,
